product,product_link,image_link,brand,likes,gender,main_category,sub_category
W 슬림핏 니트 코튼 옥스포드 셔츠-샴브레이 인디고,https://www.musinsa.com/products/4253564,https://image.msscdn.net/thumbnails/images/goods_img/20240717/4253564/4253564_17231045900144_big.jpg?w=780,폴로 랄프 로렌,2.3천,공용,상의,셔츠/블라우스
타탄 원 포켓 오버핏 포시즌 유니섹스 베이직 체크 셔츠 [네이비],https://www.musinsa.com/products/4279166,https://image.msscdn.net/thumbnails/images/goods_img/20240729/4279166/4279166_17440308825448_big.png?w=780,블랙모먼트,2.3천,공용,상의,셔츠/블라우스
시티보이 오버핏 옥스포드 반팔 셔츠 [그레이],https://www.musinsa.com/products/4058278,https://image.msscdn.net/thumbnails/images/goods_img/20240416/4058278/4058278_17440048380046_big.jpg?w=780,리메인세컨드,549,공용,상의,셔츠/블라우스
체크 웨스턴 세미 오버핏 롱 슬리브 셔츠 2 COLOR COOSSH198,https://www.musinsa.com/products/4825055,https://image.msscdn.net/thumbnails/images/goods_img/20250224/4825055/4825055_17422653533471_big.jpg?w=780,커스텀어클락,505,공용,상의,셔츠/블라우스
ASI 에센셜 바이오워싱 데님 셔츠_라이트 블루,https://www.musinsa.com/products/4288936,https://image.msscdn.net/thumbnails/images/goods_img/20240801/4288936/4288936_17234533688166_big.jpg?w=780,디미트리블랙,4.7천,공용,상의,셔츠/블라우스
보헤미안 볼륨 블라우스 (크림),https://www.musinsa.com/products/4806168,https://image.msscdn.net/thumbnails/images/goods_img/20250219/4806168/4806168_17455478907807_big.jpg?w=780,멜로토리,505,여성,상의,셔츠/블라우스
Fluff Mood Check shirt S24 Navy,https://www.musinsa.com/products/859956,https://image.msscdn.net/thumbnails/images/goods_img/20180917/859956/859956_17228396322505_big.jpg?w=780,다이아몬드 레이라,4.6만,공용,상의,셔츠/블라우스
시어서커 오버핏 체크 셔츠_레드,https://www.musinsa.com/products/4208085,https://image.msscdn.net/thumbnails/images/goods_img/20240619/4208085/4208085_17188602682641_big.jpg?w=780,슬로우 레코드 하우스,1.0천,공용,상의,셔츠/블라우스
썸머 빈티지 노이 체크 셔츠,https://www.musinsa.com/products/5023164,https://image.msscdn.net/thumbnails/images/goods_img/20250414/5023164/5023164_17448738388627_big.jpg?w=780,앤드어게인,661,남성,상의,셔츠/블라우스
링클 핀 스트라이프 셔츠 (화이트블루),https://www.musinsa.com/products/5022481,https://image.msscdn.net/thumbnails/images/goods_img/20250414/5022481/5022481_17446039896138_big.jpg?w=780,쿠어,362,남성,상의,셔츠/블라우스
타미아 스트라이프 코튼 셔츠 [빈티지 블랙],https://www.musinsa.com/products/3810210,https://image.msscdn.net/thumbnails/images/goods_img/20240119/3810210/3810210_17394317212046_big.jpg?w=780,아노블리어,2.5천,공용,상의,셔츠/블라우스
컴포트 나일론 스트링 오버핏 긴팔 셔츠 GLS-703,https://www.musinsa.com/products/3805606,https://image.msscdn.net/thumbnails/images/goods_img/20240118/3805606/3805606_17108408795389_big.jpg?w=780,고스트리퍼블릭,297,남성,상의,셔츠/블라우스
Mix Stripe Shirt S93 Sky Blue,https://www.musinsa.com/products/2357598,https://image.msscdn.net/thumbnails/images/goods_img/20220214/2357598/2357598_17241178223124_big.jpg?w=780,다이아몬드 레이라,572,공용,상의,셔츠/블라우스
빈티지 링클 체크셔츠_Blue,https://www.musinsa.com/products/4242344,https://image.msscdn.net/thumbnails/images/goods_img/20240710/4242344/4242344_17205926577131_big.jpg?w=780,무드인사이드,1.9천,남성,상의,셔츠/블라우스
웨스턴 체크 셔츠-블랙,https://www.musinsa.com/products/4743742,https://image.msscdn.net/thumbnails/images/goods_img/20250124/4743742/4743742_17395419148981_big.jpg?w=780,필루미네이트,714,공용,상의,셔츠/블라우스
시어서커 베이직 포켓 셔츠 라이트 블루,https://www.musinsa.com/products/5029837,https://image.msscdn.net/thumbnails/images/goods_img/20250415/5029837/5029837_17453165035951_big.jpg?w=780,세터,112,공용,상의,셔츠/블라우스
(넥타이 SET)코튼 사이드 슬릿 오버핏 하프 셔츠 [GBEIGE]_SESH009GBEIGE,https://www.musinsa.com/products/4057514,https://image.msscdn.net/thumbnails/images/goods_img/20240416/4057514/4057514_17421853086277_big.jpg?w=780,세컨모놀로그,1.4천,공용,상의,셔츠/블라우스
프릴 리본 스트랩 라운드넥 크롭 반팔 블라우스 셔츠 [블랙],https://www.musinsa.com/products/4109212,https://image.msscdn.net/thumbnails/images/goods_img/20240507/4109212/4109212_17151310345951_big.jpg?w=780,플레이스 스튜디오,7.4천,여성,상의,셔츠/블라우스
빈티지 스트라이프 셔츠,https://www.musinsa.com/products/4068171,https://image.msscdn.net/thumbnails/images/goods_img/20240419/4068171/4068171_17174766846000_big.jpg?w=780,후크,5.4천,공용,상의,셔츠/블라우스
벨라 시어서커 체크 셔츠 (스카이 블루),https://www.musinsa.com/products/4699550,https://image.msscdn.net/thumbnails/images/goods_img/20250106/4699550/4699550_17369153302680_big.jpg?w=780,파브레가,1.0천,남성,상의,셔츠/블라우스
LAUNDRY SMALL CHECK SHIRT [CHARCOAL BLACK],https://www.musinsa.com/products/4675970,https://image.msscdn.net/thumbnails/images/goods_img/20241220/4675970/4675970_17387165744542_big.jpg?w=780,유니온블루,1.4천,남성,상의,셔츠/블라우스
포켓 하프 데님 셔츠_다크인디고,https://www.musinsa.com/products/4072506,https://image.msscdn.net/thumbnails/images/goods_img/20240422/4072506/4072506_17146391042210_big.jpg?w=780,블론드나인,8.3천,공용,상의,셔츠/블라우스
스트라이프 멀티 에어리 셔츠_그레이,https://www.musinsa.com/products/4989602,https://image.msscdn.net/thumbnails/images/goods_img/20250404/4989602/4989602_17440825991744_big.jpg?w=780,인템포무드,697,남성,상의,셔츠/블라우스
쉐이드 시어서커 체크 셔츠 [CHARCOAL],https://www.musinsa.com/products/4711504,https://image.msscdn.net/thumbnails/images/goods_img/20250110/4711504/4711504_17373565173128_big.jpg?w=780,시즈,1.2천,남성,상의,셔츠/블라우스
